Course ID,Course Title,Ad Campaign Platform,Ad Spend ($),Impressions,Clicks,Landing Page Views,Sign-ups,Conversion Rate (%),Location,Date
C-1001,Advanced Excel,LinkedIn Sponsored,89.58,2639,164,153,75,49.02,Johannesburg,09/06/2025
C-1003,SQL for Beginners,Facebook Ads,452.9,10144,323,238,53,22.27,Nairobi,10/06/2025
C-1009,Remote Work Productivity,Facebook Ads,1398.07,28651,2697,2365,492,20.8,Lagos,09/07/2025
C-1001,Advanced Excel,Google Search,265.73,15328,1939,1460,398,27.26,Lagos,23/05/2025
C-1008,UI/UX Fundamentals,Email Blast,303.76,14031,737,612,228,37.25,Abuja,04/06/2025
C-1003,SQL for Beginners,Email Blast,750.46,30439,2911,2139,677,31.65,Cairo,04/06/2025
C-1000,Intro to Python,Instagram Stories,350.42,11463,846,758,212,27.97,Kigali,03/06/2025
C-1004,Digital Marketing Basics,Google Search,188.21,11189,1039,739,327,44.25,Kigali,22/05/2025
C-1001,Advanced Excel,Instagram Stories,299.65,7078,135,126,73,57.94,Nairobi,27/06/2025
C-1005,Project Management 101,Email Blast,649.88,23541,1239,897,424,47.27,Cairo,23/04/2025
C-1000,Intro to Python,Instagram Stories,2264.06,48823,1322,1089,232,21.3,Nairobi,27/06/2025
C-1006,AI for Non-Techies,Email Blast,189.87,6164,284,245,79,32.24,Cairo,21/06/2025
C-1009,Remote Work Productivity,Email Blast,1012.83,24700,2137,1594,937,58.78,Johannesburg,07/06/2025
C-1001,Advanced Excel,Google Search,187.64,4003,566,522,229,43.87,Cairo,22/04/2025
C-1001,Advanced Excel,Facebook Ads,374.1,16256,363,271,59,21.77,Abuja,30/05/2025
C-1004,Digital Marketing Basics,LinkedIn Sponsored,745.43,30714,1978,1518,806,53.1,Accra,02/06/2025
C-1005,Project Management 101,Google Search,1022.02,24283,1197,1000,256,25.6,Cairo,28/04/2025
C-1001,Advanced Excel,Google Search,734.46,40920,836,791,402,50.82,Johannesburg,29/06/2025
C-1002,Data Visualization with Power BI,Instagram Stories,1225.48,31294,337,304,146,48.03,Cairo,25/04/2025
C-1008,UI/UX Fundamentals,LinkedIn Sponsored,225.26,15392,1815,1304,447,34.28,Lagos,15/05/2025
C-1003,SQL for Beginners,LinkedIn Sponsored,38.92,3103,405,346,114,32.95,Abuja,28/06/2025
C-1004,Digital Marketing Basics,Google Search,189.48,5337,285,222,109,49.1,Kigali,06/06/2025
C-1003,SQL for Beginners,Instagram Stories,1693.54,43954,5899,4825,1195,24.77,Abuja,21/04/2025
C-1007,Graphic Design Essentials,LinkedIn Sponsored,308.32,10363,1207,1014,515,50.79,Accra,18/06/2025
C-1003,SQL for Beginners,Email Blast,713.25,49823,4144,3343,702,21,Cairo,24/04/2025
C-1009,Remote Work Productivity,Email Blast,882.28,29077,418,359,116,32.31,Abuja,07/07/2025
C-1005,Project Management 101,Google Search,618.33,15373,2107,1606,584,36.36,Cape Town,22/05/2025
C-1001,Advanced Excel,Facebook Ads,67.23,4087,171,122,38,31.15,Accra,07/07/2025
C-1002,Data Visualization with Power BI,Instagram Stories,2045.36,45596,6390,5763,2612,45.32,Nairobi,27/04/2025
C-1006,AI for Non-Techies,Email Blast,821.2,26009,3186,2378,1324,55.68,Cape Town,18/05/2025
C-1008,UI/UX Fundamentals,Email Blast,251.69,17476,2150,1986,649,32.68,Lagos,21/06/2025
C-1001,Advanced Excel,Email Blast,2029.35,45676,1914,1544,814,52.72,Cairo,15/07/2025
C-1005,Project Management 101,LinkedIn Sponsored,156.93,8310,91,75,27,36,Abuja,28/05/2025
C-1002,Data Visualization with Power BI,Facebook Ads,704.7,30735,823,645,372,57.67,Cairo,18/05/2025
C-1008,UI/UX Fundamentals,Email Blast,621.06,12708,1050,919,317,34.49,Nairobi,26/05/2025
C-1004,Digital Marketing Basics,Email Blast,944.73,42874,6205,4734,1888,39.88,Johannesburg,02/05/2025
C-1002,Data Visualization with Power BI,Google Search,767.85,25504,1272,902,400,44.35,Lagos,27/05/2025
C-1009,Remote Work Productivity,Instagram Stories,435.57,22243,382,294,165,56.12,Lagos,05/05/2025
C-1001,Advanced Excel,LinkedIn Sponsored,487.88,24788,750,616,366,59.42,Johannesburg,11/05/2025
C-1000,Intro to Python,Email Blast,656.77,16785,1747,1555,458,29.45,Nairobi,19/05/2025
C-1001,Advanced Excel,Instagram Stories,1539.05,48966,3010,2582,1170,45.31,Nairobi,17/06/2025
C-1008,UI/UX Fundamentals,Google Search,161.35,9241,209,189,62,32.8,Cape Town,24/04/2025
C-1008,UI/UX Fundamentals,LinkedIn Sponsored,126.05,11821,185,156,73,46.79,Abuja,01/07/2025
C-1003,SQL for Beginners,Google Search,616.91,36343,2968,2245,1028,45.79,Cairo,24/05/2025
C-1006,AI for Non-Techies,LinkedIn Sponsored,697.83,45019,4804,3827,2199,57.46,Cape Town,06/07/2025
C-1008,UI/UX Fundamentals,Facebook Ads,1379.32,30588,1766,1286,732,56.92,Johannesburg,02/07/2025
C-1003,SQL for Beginners,LinkedIn Sponsored,167.35,5196,239,206,108,52.43,Lagos,19/04/2025
C-1009,Remote Work Productivity,Google Search,1711.69,37301,3138,2386,566,23.72,Johannesburg,28/05/2025
C-1000,Intro to Python,Facebook Ads,135.47,5652,769,660,221,33.48,Johannesburg,08/05/2025
C-1001,Advanced Excel,LinkedIn Sponsored,125.97,3058,341,315,174,55.24,Nairobi,05/06/2025
C-1008,UI/UX Fundamentals,LinkedIn Sponsored,762.5,16597,1657,1194,315,26.38,Cape Town,11/05/2025
C-1003,SQL for Beginners,Google Search,1327.83,36339,3448,2421,582,24.04,Cape Town,29/04/2025
C-1003,SQL for Beginners,Instagram Stories,1205.48,31996,342,253,106,41.9,Johannesburg,03/06/2025
C-1001,Advanced Excel,Instagram Stories,143.29,7352,744,562,272,48.4,Kigali,22/04/2025
C-1006,AI for Non-Techies,Instagram Stories,1228.54,27941,1552,1376,632,45.93,Lagos,12/05/2025
C-1001,Advanced Excel,Instagram Stories,122.85,4972,507,426,101,23.71,Kigali,05/06/2025
C-1001,Advanced Excel,Google Search,444.9,17295,815,620,365,58.87,Johannesburg,21/06/2025
C-1008,UI/UX Fundamentals,Google Search,915.21,30400,4100,3516,1821,51.79,Abuja,09/05/2025
C-1002,Data Visualization with Power BI,Instagram Stories,748.94,19254,1747,1438,399,27.75,Johannesburg,15/04/2025
C-1001,Advanced Excel,Email Blast,513.23,30041,1481,1045,478,45.74,Nairobi,02/07/2025
C-1000,Intro to Python,Email Blast,1084.98,43738,6196,5814,3290,56.59,Lagos,20/05/2025
C-1001,Advanced Excel,Google Search,802.55,16491,200,186,69,37.1,Abuja,21/05/2025
C-1007,Graphic Design Essentials,Google Search,826.8,32546,4716,4306,1368,31.77,Abuja,05/05/2025
C-1000,Intro to Python,Instagram Stories,380.46,11789,1522,1185,317,26.75,Lagos,11/06/2025
C-1006,AI for Non-Techies,Instagram Stories,255.24,18380,2592,2265,969,42.78,Cairo,24/04/2025
C-1006,AI for Non-Techies,Email Blast,1433.73,46651,4483,4247,1087,25.59,Cape Town,29/05/2025
C-1002,Data Visualization with Power BI,LinkedIn Sponsored,512.25,13445,1785,1580,756,47.85,Johannesburg,30/04/2025
C-1000,Intro to Python,Email Blast,1651.95,38957,2350,1817,951,52.34,Lagos,08/07/2025
C-1005,Project Management 101,Facebook Ads,142.67,4746,623,578,233,40.31,Cape Town,20/06/2025
C-1008,UI/UX Fundamentals,Google Search,1497.87,35807,4359,3759,1807,48.07,Lagos,21/04/2025
C-1008,UI/UX Fundamentals,Google Search,86,6250,841,659,230,34.9,Nairobi,20/05/2025
C-1009,Remote Work Productivity,Google Search,172.89,5453,496,351,135,38.46,Abuja,04/06/2025
C-1001,Advanced Excel,Google Search,440.61,38334,1921,1628,345,21.19,Lagos,27/06/2025
C-1009,Remote Work Productivity,Instagram Stories,196.83,6372,797,629,157,24.96,Kigali,28/05/2025
C-1004,Digital Marketing Basics,LinkedIn Sponsored,192.97,14386,1694,1277,573,44.87,Johannesburg,13/07/2025
C-1004,Digital Marketing Basics,Google Search,956.22,26938,464,386,160,41.45,Cairo,15/07/2025
C-1007,Graphic Design Essentials,Facebook Ads,497.78,21720,2425,2289,930,40.63,Lagos,12/06/2025
C-1007,Graphic Design Essentials,Email Blast,547.97,41708,5060,3884,1458,37.54,Nairobi,10/07/2025
C-1001,Advanced Excel,Google Search,1371.06,36234,490,460,245,53.26,Cairo,20/04/2025
C-1002,Data Visualization with Power BI,Facebook Ads,477.67,23872,1605,1193,313,26.24,Johannesburg,13/07/2025
C-1005,Project Management 101,Google Search,417.08,19676,1709,1501,696,46.37,Cape Town,08/06/2025
C-1008,UI/UX Fundamentals,LinkedIn Sponsored,1623.72,47107,6768,5986,2524,42.17,Lagos,30/04/2025
C-1008,UI/UX Fundamentals,Facebook Ads,831.27,20620,1417,1079,369,34.2,Accra,25/06/2025
C-1004,Digital Marketing Basics,Facebook Ads,99.59,8564,102,74,16,21.62,Accra,29/05/2025
C-1004,Digital Marketing Basics,Email Blast,270.82,19465,2525,2211,861,38.94,Johannesburg,19/05/2025
C-1005,Project Management 101,LinkedIn Sponsored,392.31,14342,1130,924,248,26.84,Cape Town,23/05/2025
C-1004,Digital Marketing Basics,Facebook Ads,51.13,4329,284,242,109,45.04,Abuja,21/06/2025
C-1004,Digital Marketing Basics,Facebook Ads,172.13,3889,242,207,83,40.1,Kigali,22/05/2025
C-1002,Data Visualization with Power BI,LinkedIn Sponsored,1526.14,42753,4370,3237,738,22.8,Accra,21/05/2025
C-1007,Graphic Design Essentials,Instagram Stories,1226.79,37154,509,430,247,57.44,Lagos,30/04/2025
